tblCodeID,Code,Rel_tblCodeID,Rel_Code,Rel_Codedesc,Rel_tblCodeTypeID,Rel_CodeType,"tblCodeID	Code	Rel_tblCodeID	Rel_Code	Rel_Codedesc	Rel_tblCodeTypeID	Rel_CodeType",,,,,,
169256,sbr.27.6-8,136787,27.7.e,Western English Channel,358,ICES_Area                     ,"169256	sbr.27.6-8	136787	27.7.e	Western English Channel	358	ICES_Area                     ",,,,,,
169257,sbr.27.9,136771,27.9.a,Portugese Waters - East,358,ICES_Area                     ,"169257	sbr.27.9	136771	27.9.a	Portugese Waters - East	358	ICES_Area                     ",,,,,,
169257,sbr.27.9,136773,27.9.b.2,Portugese Waters - West Non-NEAFC regulatory Area,358,ICES_Area                     ,"169257	sbr.27.9	136773	27.9.b.2	Portugese Waters - West Non-NEAFC regulatory Area	358	ICES_Area                     ",,,,,,
169257,sbr.27.9,136772,27.9.b.1,Portugese Waters - West Parts in NEAFC regulatory Area,358,ICES_Area                     ,"169257	sbr.27.9	136772	27.9.b.1	Portugese Waters - West Parts in NEAFC regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136791,27.8.b,Bay of Biscay - Central,358,ICES_Area                     ,"136693	sbr-678	136791	27.8.b	Bay of Biscay - Central	358	ICES_Area                     ",,,,,,
136693,sbr-678,136790,27.8.a,Bay of Biscay - North,358,ICES_Area                     ,"136693	sbr-678	136790	27.8.a	Bay of Biscay - North	358	ICES_Area                     ",,,,,,
136693,sbr-678,136793,27.8.d.1,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area,358,ICES_Area                     ,"136693	sbr-678	136793	27.8.d.1	Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136794,27.8.d.2,Bay of Biscay - Offshore Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136693	sbr-678	136794	27.8.d.2	Bay of Biscay - Offshore Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136792,27.8.c,Bay of Biscay - South,358,ICES_Area                     ,"136693	sbr-678	136792	27.8.c	Bay of Biscay - South	358	ICES_Area                     ",,,,,,
136693,sbr-678,136788,27.7.f,Bristol Channel,358,ICES_Area                     ,"136693	sbr-678	136788	27.7.f	Bristol Channel	358	ICES_Area                     ",,,,,,
136693,sbr-678,136789,27.7.g,Celtic Sea North,358,ICES_Area                     ,"136693	sbr-678	136789	27.7.g	Celtic Sea North	358	ICES_Area                     ",,,,,,
136693,sbr-678,136814,27.7.h,Celtic Sea South,358,ICES_Area                     ,"136693	sbr-678	136814	27.7.h	Celtic Sea South	358	ICES_Area                     ",,,,,,
136693,sbr-678,136786,27.7.d,Eastern English Channel,358,ICES_Area                     ,"136693	sbr-678	136786	27.7.d	Eastern English Channel	358	ICES_Area                     ",,,,,,
136693,sbr-678,136782,27.7.a,Irish Sea,358,ICES_Area                     ,"136693	sbr-678	136782	27.7.a	Irish Sea	358	ICES_Area                     ",,,,,,
136693,sbr-678,136779,27.6.a,Northwest Coast of Scotland and North Ireland or as the West of Scotland,358,ICES_Area                     ,"136693	sbr-678	136779	27.6.a	Northwest Coast of Scotland and North Ireland or as the West of Scotland	358	ICES_Area                     ",,,,,,
136693,sbr-678,136784,27.7.c.1,Porcupine Bank - NEAFC Regulatory Area,358,ICES_Area                     ,"136693	sbr-678	136784	27.7.c.1	Porcupine Bank - NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136785,27.7.c.2,Porcupine Bank Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136693	sbr-678	136785	27.7.c.2	Porcupine Bank Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136780,27.6.b.1,Rockall - Part of NEAFC area I ,358,ICES_Area                     ,"136693	sbr-678	136780	27.6.b.1	Rockall - Part of NEAFC area I 	358	ICES_Area                     ",,,,,,
136693,sbr-678,136781,27.6.b.2,Rockall Non-NEAFC area,358,ICES_Area                     ,"136693	sbr-678	136781	27.6.b.2	Rockall Non-NEAFC area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136797,27.7.j.1,Southwest of Ireland - East - Parts of the NEAFC Regulatory,358,ICES_Area                     ,"136693	sbr-678	136797	27.7.j.1	Southwest of Ireland - East - Parts of the NEAFC Regulatory	358	ICES_Area                     ",,,,,,
136693,sbr-678,136798,27.7.j.2,Southwest of Ireland - East Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136693	sbr-678	136798	27.7.j.2	Southwest of Ireland - East Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136799,27.7.k.1,Southwest of Ireland - West - Part of the NEAFC Regulatory Area,358,ICES_Area                     ,"136693	sbr-678	136799	27.7.k.1	Southwest of Ireland - West - Part of the NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136800,27.7.k.2,Southwest of Ireland - West - Part of the Non-NEAFC Area I,358,ICES_Area                     ,"136693	sbr-678	136800	27.7.k.2	Southwest of Ireland - West - Part of the Non-NEAFC Area I	358	ICES_Area                     ",,,,,,
136693,sbr-678,136795,27.8.e.1,West of Bay of Biscay - Parts in NEAFC Regulatory Area ,358,ICES_Area                     ,"136693	sbr-678	136795	27.8.e.1	West of Bay of Biscay - Parts in NEAFC Regulatory Area 	358	ICES_Area                     ",,,,,,
136693,sbr-678,136796,27.8.e.2,West of Bay of Biscay Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136693	sbr-678	136796	27.8.e.2	West of Bay of Biscay Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136693,sbr-678,136783,27.7.b,West of Ireland ,358,ICES_Area                     ,"136693	sbr-678	136783	27.7.b	West of Ireland 	358	ICES_Area                     ",,,,,,
136693,sbr-678,136787,27.7.e,Western English Channel,358,ICES_Area                     ,"136693	sbr-678	136787	27.7.e	Western English Channel	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136755,27.3.d.29,Archipelago Sea,358,ICES_Area                     ,"136694	sbr-comb	136755	27.3.d.29	Archipelago Sea	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136801,27.10.a.1,Azores Grounds - Parts of the NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136801	27.10.a.1	Azores Grounds - Parts of the NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136802,27.10.a.2,Azores Grounds Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136802	27.10.a.2	Azores Grounds Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136751,27.3.d.24,Baltic West of Bornholm,358,ICES_Area                     ,"136694	sbr-comb	136751	27.3.d.24	Baltic West of Bornholm	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136761,27.1.a,Barents Sea - NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136761	27.1.a	Barents Sea - NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136762,27.1.b,Barents Sea - Non NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136762	27.1.b	Barents Sea - Non NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136791,27.8.b,Bay of Biscay - Central,358,ICES_Area                     ,"136694	sbr-comb	136791	27.8.b	Bay of Biscay - Central	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136790,27.8.a,Bay of Biscay - North,358,ICES_Area                     ,"136694	sbr-comb	136790	27.8.a	Bay of Biscay - North	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136793,27.8.d.1,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136793	27.8.d.1	Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136794,27.8.d.2,Bay of Biscay - Offshore Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136794	27.8.d.2	Bay of Biscay - Offshore Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136792,27.8.c,Bay of Biscay - South,358,ICES_Area                     ,"136694	sbr-comb	136792	27.8.c	Bay of Biscay - South	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136749,27.3.c.22,Belt Sea,358,ICES_Area                     ,"136694	sbr-comb	136749	27.3.c.22	Belt Sea	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136757,27.3.d.31,Bothnian Bay,358,ICES_Area                     ,"136694	sbr-comb	136757	27.3.d.31	Bothnian Bay	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136756,27.3.d.30,Bothnian Sea,358,ICES_Area                     ,"136694	sbr-comb	136756	27.3.d.30	Bothnian Sea	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136788,27.7.f,Bristol Channel,358,ICES_Area                     ,"136694	sbr-comb	136788	27.7.f	Bristol Channel	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136789,27.7.g,Celtic Sea North,358,ICES_Area                     ,"136694	sbr-comb	136789	27.7.g	Celtic Sea North	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136814,27.7.h,Celtic Sea South,358,ICES_Area                     ,"136694	sbr-comb	136814	27.7.h	Celtic Sea South	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136769,27.4.b,Central North Sea,358,ICES_Area                     ,"136694	sbr-comb	136769	27.4.b	Central North Sea	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136809,27.12.c,Central Northeast Atlantic - South,358,ICES_Area                     ,"136694	sbr-comb	136809	27.12.c	Central Northeast Atlantic - South	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136760,27.3.d.28.2,East of Gotland (open sea),358,ICES_Area                     ,"136694	sbr-comb	136760	27.3.d.28.2	East of Gotland (open sea)	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136786,27.7.d,Eastern English Channel,358,ICES_Area                     ,"136694	sbr-comb	136786	27.7.d	Eastern English Channel	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136778,27.5.b.2,Faroe Bank,358,ICES_Area                     ,"136694	sbr-comb	136778	27.5.b.2	Faroe Bank	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136776,27.5.b.1.a,Faroe Plateau - Part of NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136776	27.5.b.1.a	Faroe Plateau - Part of NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136777,27.5.b.1.b,Faroe Plateau - Part of Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136777	27.5.b.1.b	Faroe Plateau - Part of Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136758,27.3.d.32,Gulf of Finland,358,ICES_Area                     ,"136694	sbr-comb	136758	27.3.d.32	Gulf of Finland	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136759,27.3.d.28.1,Gulf of Riga,358,ICES_Area                     ,"136694	sbr-comb	136759	27.3.d.28.1	Gulf of Riga	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136775,27.5.a.2,Icelandic Shelf,358,ICES_Area                     ,"136694	sbr-comb	136775	27.5.a.2	Icelandic Shelf	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136782,27.7.a,Irish Sea,358,ICES_Area                     ,"136694	sbr-comb	136782	27.7.a	Irish Sea	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136803,27.10.b,Northeast Atlantic South,358,ICES_Area                     ,"136694	sbr-comb	136803	27.10.b	Northeast Atlantic South	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136810,27.14.a,Northeast Greenland,358,ICES_Area                     ,"136694	sbr-comb	136810	27.14.a	Northeast Greenland	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136768,27.4.a,Northern North Sea,358,ICES_Area                     ,"136694	sbr-comb	136768	27.4.a	Northern North Sea	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136774,27.5.a.1,Northern Reykjanes ridge ,358,ICES_Area                     ,"136694	sbr-comb	136774	27.5.a.1	Northern Reykjanes ridge 	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136779,27.6.a,Northwest Coast of Scotland and North Ireland or as the West of Scotland,358,ICES_Area                     ,"136694	sbr-comb	136779	27.6.a	Northwest Coast of Scotland and North Ireland or as the West of Scotland	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136763,27.2.a.1,Norwegian Sea - NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136763	27.2.a.1	Norwegian Sea - NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136764,27.2.a.2,Norwegian Sea - Non-NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136764	27.2.a.2	Norwegian Sea - Non-NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
136694,sbr-comb,136784,27.7.c.1,Porcupine Bank - NEAFC Regulatory Area,358,ICES_Area                     ,"136694	sbr-comb	136784	27.7.c.1	Porcupine Bank - NEAFC Regulatory Area	358	ICES_Area                     ",,,,,,
