StockKeyLabel,ICES_Area
sal-nea,27.8.b
sar-78,27.8.b
sbr-678,27.8.b
sbr-comb,27.8.b
sck-nea,27.8.b
sma-nea,27.8.b
skx-89a,27.8.b
sol-bisc,27.8.b
syc-bisc,27.8.b
trk-nea,27.8.b
usk-oth,27.8.b
whb-comb,27.8.b
whg-89a,27.8.b
bss-8ab,27.8.b
mur-west,27.8.b
anb-78ab,27.8.b
anp-78ab,27.8.b
nep-8ab,27.8.b
whb-comb-alt,27.8.b
usk-comb,27.8.b
rju-8ab,27.8.b
sho-89a,27.8.b
rja-nea,27.8.b
gur-comb,27.8.b
bsf-nea,27.8.b
rjn-678abd,27.8.b
qsc-nea,27.8.b
scx-nea,27.8.b
rsg-nea,27.8.b
rhg-nea,27.8.b
arg-rest,27.8.b
tsu-nea,27.8.b
agn.27.nea,27.8.b
alf.27.nea,27.8.b
ank.27.78ab,27.8.b
ane.27.8,27.8.b
mon.27.78ab,27.8.b
aru.27.6b7-1012,27.8.b
bli.27.nea,27.8.b
boc.27.6-8,27.8.b
bsf.27.nea,27.8.b
bsk.27.nea,27.8.b
bss.27.8ab,27.8.b
cyo.27.nea,27.8.b
dgs.27.nea,27.8.b
gag.27.nea,27.8.b
gfb.27.nea,27.8.b
guq.27.nea,27.8.b
gur.27.3-8,27.8.b
hke.27.3a46-8abd,27.8.b
hom.27.2a4a5b6a7a-ce-k8,27.8.b
lin.27.3a4a6-91214,27.8.b
mac.27.nea,27.8.b
meg.27.7b-k8abd,27.8.b
mur.27.67a-ce-k89a,27.8.b
nep.fu.2324,27.8.b
ory.27.nea,27.8.b
ple.27.89a,27.8.b
pol.27.89a,27.8.b
por.27.nea,27.8.b
raj.27.89a,27.8.b
rhg.27.nea,27.8.b
rja.27.nea,27.8.b
rjb.27.89a,27.8.b
rjc.27.8,27.8.b
rjm.27.8,27.8.b
rjn.27.678abd,27.8.b
rju.27.8ab,27.8.b
rng.27.1245a8914ab,27.8.b
pil.27.78abd,27.8.b
sbr.27.6-8,27.8.b
sck.27.nea,27.8.b
sho.27.89a,27.8.b
sol.27.8ab,27.8.b
syc.27.8abd,27.8.b
sdv.27.nea,27.8.b
tsu.27.nea,27.8.b
usk.27.3a45b6a7-912b,27.8.b
